Product Code,Description,Manufacturer_SKU,Unit Qty,Weight per piece,product_line,category,color
FTFE26P345ABZ,"3""x45.5"" Fortress FE26 Post w/Base Cover Antique Bronze",53303476,56,14.2443,FE26,Post,ABZ
FTFE26P345BS,"3""x45.5"" Fortress FE26 Post w/Base Cover Black Sand",53303478,56,14.2443,FE26,Post,BKSND
FTFE26P345GB,"3""x45.5"" Fortress FE26 Post w/Base Cover Gloss Black",53303470,56,14.2443,FE26,Post,GBLK
FTFE26P349GB,"3""x49"" Fortress FE26 Post Gloss Black",53349160,50,12.21,FE26,Post,GBLK
FTFE26P355ABZ,"3""x55"" Fortress FE26 Post Antique Bronze",53355166,50,13.8915,FE26,Post,ABZ
FTFE26P355BS,"3""x55"" Fortress FE26 Post Black Sand",53355160,50,13.9,FE26,Post,GBLK
FTFE26P355GB,"3""x55"" Fortress FE26 Post Gloss Black",53355168,50,13.8915,FE26,Post,BKSND
FTFE26PC245BS,"2""x45.5"" Fortress FE26 Corner Post w/UB04 Black Sand",53362458,48,12.2598,FE26,Corner Post,BKSND
FTFE26PC2PDABZ,"2"" Fortress FE26 Pressed Dome Cap Antique Bronze",53502106,48,0.1323,FE26,Cap,ABZ
FTFE26PC2PDBS,"2"" Fortress FE26 Pressed Dome Cap Black Sand",53502108,48,0.1323,FE26,Cap,BKSND
FTFE26PC2PDGB,"2"" Fortress FE26 Pressed Dome Cap Gloss Black",53502100,48,0.1323,FE26,Cap,GBLK
FTFE26PC345BS,"3""x45.5"" Fortress FE26 Corner Post w/UB04 Black Sand",53363458,49,15.89805,FE26,Corner Post,BKSND
FTFE26PC3PDABZ,"3"" Fortress FE26 Pressed Dome Cap Antique Bronze",53503106,48,0.19845,FE26,Cap,ABZ
FTFE26PC3PDBS,"3"" Fortress FE26 Pressed Dome Cap Black Sand",53503108,48,0.19845,FE26,Cap,BKSND
FTFE26PC3PDGB,"3"" Fortress FE26 Pressed Dome Cap Gloss Black",53503100,48,0.19845,FE26,Cap,GBLK
FTFE26PE245BS,"2""x45.5"" Fortress FE26 End Post w/UB04 Black Sand",53352458,48,11.8188,FE26,Post,BKSND
FTFE26PE345BS,"3""x45.5"" Fortress FE26 End Post w/UB04 Black Sand",53353458,49,15.435,FE26,Post,BKSND
FTFE26PL245BS,"2""x45.5"" Fortress FE26 Line Post w/UB04 Black Sand",53342458,48,12.3,FE26,Line Post,BKSND
FTFE26PL345BS,"3""x45.5"" Fortress FE26 Line Post w/UB04 Black Sand",53343458,49,15.89805,FE26,Line Post,BKSND
FTFE26PM40BS,"40"" Fortress Fe26 Merch Rack w/Post & UB04 Black Sand",53640228,1,1733,FE26,Merchandising,BKSND
FTFE26PVRB6BS,6' Fortress FE26 PV Baluster Rails (2pcs) Black Sand,55505028,20,12.81105,FE26 Pure View,Railing,BKSND
FTFE26PVRS6BS,6' Fortress FE26 PV Baluster Stair Rails (2pcs) Black Sand,55505018,20,12.81105,FE26 Pure View,Railing,BKSND
FTFE26RA346BS,"34""x6' Fortress FE26 Rail Axis Horizontal Black Sand",53834708,40,30.8,FE26,Infill,BKSND
FTFE26RA348BS,"34""x8' Fortress FE26 Rail Axis Horizontal Black Sand",53834948,40,37.4,FE26,Infill,BKSND
FTFE26RA406BS,"40""x6' Fortress FE26 Rail Axis Horizontal Black Sand",53840708,40,33,FE26,Infill,BKSND
FTFE26RA408BS,"40""x8' Fortress FE26 Rail Axis Horizontal Black Sand",53840948,40,40.7,FE26,Infill,BKSND
FTFE26RAA346BS,"34""x6' Fortress FE26 Rail Axis Horizontal ADJ Black Sand",53034748,40,33,FE26,Infill,BKSND
FTFE26RAA348BS,"34""x8' Fortress FE26 Rail Axis Horizontal ADJ Black Sand",53034948,40,37.4,FE26,Infill,BKSND
FTFE26RAA406BS,"40""x6' Fortress FE26 Rail Axis Horizontal ADJ Black Sand",53040748,40,35.2,FE26,Infill,BKSND
FTFE26RAA408BS,"40""x8' Fortress FE26 Rail Axis Horizontal ADJ Black Sand",53040948,40,41.8,FE26,Infill,BKSND
FTFE26RT346ABZ,"34""x6' Fortress FE26 Rail Traditional Antique Bronze",53134706,50,21.267225,FE26,Infill,ABZ
FTFE26RT346BS,"34""x6' Fortress FE26 Rail Traditional Black Sand",53134708,50,21.267225,FE26,Infill,BKSND
FTFE26RT346GB,"34""x6' Fortress FE26 Rail Traditional Gloss Black",640018,50,21.267225,FE26,Infill,GBLK
FTFE26RT348ABZ,"34""x8' Fortress FE26 Rail Traditional Antique Bronze",53134946,50,28.224,FE26,Infill,ABZ
FTFE26RT348BS,"34""x8' Fortress FE26 Rail Traditional Black Sand",53134948,50,28.224,FE26,Infill,BKSND
FTFE26RT348GB,"34""x8' Fortress FE26 Rail Traditional Gloss Black",640016,50,28.224,FE26,Infill,GBLK
FTFE26RT386ABZ,"38""x6' Fortress Fe26 Rail Traditional Antique Bronze",900170-ABZ,50,24.10065,FE26,Infill,ABZ
